	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	GROUP.NO	DATE.TIME	PUB.DONE	SUB.GOT	SUB.AVAIL	SUB.DONE	LIEFSTART	LEFNO.START	LEFNO.LAST	LEFPOS.START	LEFPOS.END	USER.TIME(%)	SYS.TIME(%)	TCA.MODULO	TOTAL.PG	TCA.FILE.ACCESS	TCR.CREATE	TCR.DROP
	0	15:29:56 07 NOV 2014	21003	2424	2424	1471	0	1	1	0	0	1	15:29:56 07 NOV 2014	25003	2266	2265	1303	0	1	1	0	0	2	15:29:56 07 NOV 2014	27003	2412	2413	1207	0	1	1	0	0	3	15:29:56 07 NOV 2014	26003	2290	2289	1591	0	1	1	0	0	4	15:29:56 07 NOV 2014	31003	2633	2634	1831	0	1	1	0	0	5	15:29:58 07 NOV 2014	500	500	501	500	0	1	1	0	0	4	5	38	64	0	70	17
	0	15:30:03 07 NOV 2014	21003	2603	2604	1471	0	1	1	0	0	1	15:30:03 07 NOV 2014	25003	2484	2485	1303	0	1	1	0	0	2	15:30:03 07 NOV 2014	27003	2506	2507	1207	0	1	1	0	0	3	15:30:03 07 NOV 2014	26003	2396	2397	1591	0	1	1	0	0	4	15:30:03 07 NOV 2014	31003	2735	2736	1831	0	1	1	0	0	5	15:30:06 07 NOV 2014	500	500	501	500	0	1	1	0	0	8	6	38	64	0	70	17
	0	15:30:11 07 NOV 2014	21003	2882	2883	1471	0	1	1	0	0	1	15:30:11 07 NOV 2014	25003	2620	2621	1303	0	1	1	0	0	2	15:30:11 07 NOV 2014	27003	2608	2609	2387	0	1	1	0	0	3	15:30:11 07 NOV 2014	26003	2490	2491	1591	0	1	1	0	0	4	15:30:11 07 NOV 2014	31003	2839	2840	1831	0	1	1	0	0	5	15:30:13 07 NOV 2014	500	500	501	500	0	1	1	0	0	9	10	38	64	0	75	25
	0	15:30:18 07 NOV 2014	21003	3185	3186	3179	0	1	1	0	0	1	15:30:18 07 NOV 2014	25003	2718	2717	2531	0	1	1	0	0	2	15:30:18 07 NOV 2014	27003	2715	2715	2387	0	1	1	0	0	3	15:30:18 07 NOV 2014	26003	2594	2595	1591	0	1	1	0	0	4	15:30:19 07 NOV 2014	31003	3144	3145	1831	0	1	1	0	0	5	15:30:21 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	6	38	64	0	100	32
	0	15:30:26 07 NOV 2014	21003	3350	3350	3275	0	1	1	0	0	1	15:30:26 07 NOV 2014	25003	2816	2817	2531	0	1	1	0	0	2	15:30:26 07 NOV 2014	27003	2819	2820	2387	0	1	1	0	0	3	15:30:26 07 NOV 2014	26003	2880	2881	1591	0	1	1	0	0	4	15:30:26 07 NOV 2014	31003	3261	3262	3059	0	1	1	0	0	5	15:30:28 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	6	38	64	0	107	32
	0	15:30:33 07 NOV 2014	21003	3444	3445	3275	0	1	1	0	0	1	15:30:33 07 NOV 2014	25003	2915	2916	2531	0	1	1	0	0	2	15:30:33 07 NOV 2014	27003	2921	2922	2387	0	1	1	0	0	3	15:30:33 07 NOV 2014	26003	3099	3099	3059	0	1	1	0	0	4	15:30:33 07 NOV 2014	31003	3355	3356	3179	0	1	1	0	0	5	15:30:35 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	2	38	64	0	107	32
	0	15:30:41 07 NOV 2014	21003	3536	3537	3275	0	1	1	0	0	1	15:30:41 07 NOV 2014	25003	3017	3018	2531	0	1	1	0	0	2	15:30:41 07 NOV 2014	27003	3023	3022	2387	0	1	1	0	0	3	15:30:41 07 NOV 2014	26003	3197	3198	3059	0	1	1	0	0	4	15:30:41 07 NOV 2014	31003	3454	3455	3179	0	1	1	0	0	5	15:30:43 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	3	38	64	0	107	32
	0	15:30:48 07 NOV 2014	21003	3632	3633	3275	0	1	1	0	0	1	15:30:48 07 NOV 2014	25003	3124	3125	2531	0	1	1	0	0	2	15:30:48 07 NOV 2014	27003	3125	3126	2387	0	1	1	0	0	3	15:30:48 07 NOV 2014	26003	3297	3298	3059	0	1	1	0	0	4	15:30:48 07 NOV 2014	31003	3553	3554	3179	0	1	1	0	0	5	15:30:50 07 NOV 2014	500	500	501	500	0	1	1	0	0	1	3	38	64	0	107	32
	0	15:30:55 07 NOV 2014	21003	3739	3740	3275	0	1	1	0	0	1	15:30:55 07 NOV 2014	25003	3233	3234	2531	0	1	1	0	0	2	15:30:55 07 NOV 2014	27003	3232	3233	2387	0	1	1	0	0	3	15:30:55 07 NOV 2014	26003	3389	3390	3059	0	1	1	0	0	4	15:30:56 07 NOV 2014	31003	3641	3642	3179	0	1	1	0	0	5	15:30:58 07 NOV 2014	500	500	501	500	0	1	1	0	0	3	4	38	64	0	107	32
	0	15:31:04 07 NOV 2014	21003	3852	3853	3275	0	1	1	0	0	1	15:31:04 07 NOV 2014	25003	3349	3350	2531	0	1	1	0	0	2	15:31:04 07 NOV 2014	27003	3344	3345	2387	0	1	1	0	0	3	15:31:04 07 NOV 2014	26003	3487	3488	3059	0	1	1	0	0	4	15:31:04 07 NOV 2014	31003	3753	3754	3179	0	1	1	0	0	5	15:31:06 07 NOV 2014	500	500	501	500	0	1	1	0	0	2	2	38	64	0	107	32
